,Artists,URL,Country,Born,Died,Info
0,Aqa Mirak,,,,,
1,André Derain,https://www.mutualart.com/Artist/Andre-Derain/05AAC6084838599D,French,1880,1954,"[""\r\n                                André Derain was a French Impressionist & Modern artist who was born in 1880. Their work was featured in numerous exhibitions at key galleries and museums, including the Kunsthalle Mannheim and the Centre Pompidou Paris. André Derain's work has been offered at auction multiple times, with realized prices ranging from $12 USD to $24,173,095 USD, depending on the size and medium of the artwork. Since 1998 the record price for this artist at auction is $24,173,095 USD for ARBRES À COLLIOURE, sold at Sotheby's London in 2010. André Derain has been featured in articles for the BBC News, the Bloomberg and the Bloomberg. The most recent article is Baltimore Museum of Art Adds More than 70 Historic and Contemporary Works to Collection written  for the ArtDaily in June 2019. The artist died in 1954.\r\n                            ""]"
2,Berthe Morisot,https://www.mutualart.com/Artist/Berthe-Morisot/70D5B514C66AF592,French,1841,1895,"['\r\n                                Berthe Morisot was a French 19th Century artist who was born in 1841. Their work was featured in numerous exhibitions at key galleries and museums, including the Brooklyn Museum of Art and the Musée d\'Orsay. Berthe Morisot\'s work has been offered at auction multiple times, with realized prices ranging from $80 USD to $10,933,478 USD, depending on the size and medium of the artwork. Since 1998 the record price for this artist at auction is $10,933,478 USD for Après le déjeuner, sold at Christie\'s London in 2013. Berthe Morisot has been featured in articles for the Hyperallergic, the ARTINFO and the Artist Profile. The most recent article is Explore an Unsung Heroine and the Evolution of ""Isms"" at MFAH written by Susie Tommaney for the Houston Press in October 2019. The artist died in 1895.Artist’s alternative names: Berthe Marie Pauline Morisot\n']"
3,Francesco Guardi,https://www.mutualart.com/Artist/Francesco-Guardi/ED501A061FFDDAAC,Italian,1712,1793,"[""\r\n                                Francesco Guardi was an Italian Old Masters painter who was born in 1712. Their work was featured in numerous exhibitions at key galleries and museums, including the J. Paul Getty Museum at the Getty Center and the Fitzwilliam Museum. Francesco Guardi's work has been offered at auction multiple times, with realized prices ranging from $49 USD to $42,707,494 USD, depending on the size and medium of the artwork. Since 1998 the record price for this artist at auction is $42,707,494 USD for Venice, sold at Sotheby's London in 2011. Francesco Guardi has been featured in articles for the Telegraph, the Bloomberg and the New York Times. The most recent article is See Masterpieces from Jayne Wrightsman’s Historic Bequest to the Metropolitan Museum of\xa0Art written by Tessa Solomon for the Art in America in November 2019. The artist died in 1793.Artist’s alternative names: Francesco Lazzaro Guardi\n""]"
4,Cui Ruzhuo,https://www.mutualart.com/Artist/Cui-Ruzhuo/837C4595A056E845,,,,
5,Piero Manzoni,https://www.mutualart.com/Artist/Piero-Manzoni/8F0AC2167E407A9C,Italian,1933,1963,"[""\r\n                                Piero Manzoni was an Italian Postwar & Contemporary painter who was born in 1933. His work was featured in numerous exhibitions at key galleries and museums, including the Sammlung Goetz (Goetz Collection). Piero Manzoni's work has been offered at auction multiple times, with realized prices ranging from $4 USD to $14,123,750 USD, depending on the size and medium of the artwork. Since 1998 the record price for this artist at auction is $14,123,750 USD for Achrome, sold at Christie's New York in 2013. Piero Manzoni has been featured in articles for the ArtDaily, the Telegraph and the Bloomberg. The most recent article is Abstract Expressionism Leads Sotheby’s Contemporary Sale in New York, with $30.1 M. Willem De Kooning Topping Market-Affirming $270.7 M.\xa0Total written by Judd Tully for the ARTnews in November 2019. The artist died in 1963.\r\n                            ""]"
6,Camille Pissarro,https://www.mutualart.com/Artist/Camille-Pissarro/8C18012151ABD3E1,French,1830,1903,"['\r\n                                Camille Pissarro is one of the leading Impressionist and Neo-Impressionist artists. His well known landscapes of his early career were significant influences of succeeding artists including Claude Monet and Paul Cezanne. In his later career, his focus and subject matter shifted to a more realistic depiction of peasant life, rather than the picturesque style that he had previously expressed. His work was praised and revered by many throughout his life, and will continue to be honored and celebrated to the present day.Artist’s alternative names: Camille Jacob Pissarro, Camille Pissaro.\n']"
7,René Magritte,https://www.mutualart.com/Artist/Rene-Magritte/179C47981C5670A5,Belgian,1898,1967,"['\r\n                                Belgian artist, Rene Magritte, became known when he dramatically shifted his focus from his early career of Impressionist work to the more interesting and inspired Surrealist Movement. Similar to Marcel Duchamp, Magritte depicted mundane objects in his paintings and often gave them contradictory titles to provoke a feeling of irony and a sense of confusion from his audience. Magritte forced his viewers to question exactly what they were being exposed to. His work has inspired artists to subvert other art genres including theater, music and literature.\r\n                            ']"
8,Mark Rothko,https://www.mutualart.com/Artist/Mark-Rothko/834DF59F9D94F300,American,1903,1970,"['\r\n                                Mark Rothko was born in Russia, but is considered to be an American Abstract Expressionist painter. Early in his career, Rothko was influenced by Surrealist artist Paul Klee and in later years by Piet Mondrian. Rothko established his own style over time, he began by using subject matter related to Greek and Roman mythology and would depict abstract figures. During what is considered his mature oeuvre, the artist began painting abstract canvases where color was the main protagonist, a technique known as Color Field painting. In his writings, Rothko noted that the abstract works were similar to those of a child yet he stressed the importance of color in the human developmental process.Artist’s alternative names: Mark Rothkowitz.\n']"
9,Sir Anthony van Dyck,,,,,
