,Artist,Name,date,price,comments,repeat_sale
0,Francis Bacon,Three Studies of Lucian Freud,11.12.2013 ,"142,404,992 ",in 3 parts ,0
1,Edvard Munch,The Scream,05.02.2012 ,"119,922,496 ", ,0
2,Pablo Picasso,"Nude, Green Leaves and Bust",05.04.2010 ,"106,482,496 ", ,0
3,Andy Warhol,Silver car crash,11.13.2013 ,"105,445,000 ",Double disaster in 2 parts ,0
4,Pablo Picasso,Garçon à la pipe,05.05.2004 ,"104,168,000 ", ,0
5,Alberto Giacometti,L′homme qui marche I,02.03.2010 ,"103,689,992 ", ,0
6,Alberto Giacometti,Chariot,11.04.2014 ,"100,965,000 ", ,0
7,Pablo Picasso,Dora Maar au chat,05.03.2006 ,"95,216,000 ", ,0
8,Gustav Klimt,Portrait of Adele Bloch-Bauer II,11.08.2006 ,"87,936,000 ", ,0
9,Mark Rothko,"Orange, Red, Yellow",05.08.2012 ,"86,882,496 ", ,0
10,Francis Bacon,"Triptych, 1976",05.14.2008 ,"86,281,000 ", ,0
11,Barnett Newman,Black Fire I,05.13.2014 ,"84,165,000 ", ,0
12,Vincent van Gogh,Portrait du Dr. Gachet,05.15.1990 ,"82,500,000 ", ,0
13,Andy Warhol,Triple Elvis,11.12.2014 ,"81,925,000 ",Ferus Type ,0
14,Francis Bacon,Three Studies for a Portrait of John Edwards,05.13.2014 ,"80,805,000 ",in 3 parts ,1
15,Claude Monet,Le bassin aux nymphéas,06.24.2008 ,"80,549,392 ", ,0
16,Pierre-Auguste Renoir,Au moulin de la Galette,05.17.1990 ,"78,100,000 ", ,0
17,Sir Peter Paul Rubens,The Massacre of the Innocents,07.10.2002 ,"76,671,280 ", ,0
18,Mark Rothko,No. 1,11.13.2012 ,"75,122,496 ",Royal Red and Blue ,0
19,Mark Rothko,White center,05.15.2007 ,"72,840,000 ","Yellow, pink and lavender on rose ",0
20,Andy Warhol,Green Car Crash,05.16.2007 ,"71,720,000 ",Green Burning Car I ,0
21,Vincent van Gogh,Portrait de l′artiste sans barbe,11.19.1998 ,"71,502,496 ", ,0
22,Amedeo Modigliani,Tête,11.04.2014 ,"70,725,000 ", ,0
23,Francis Bacon,Portrait of George Dyer Talking,02.13.2014 ,"69,625,144 ", ,1
24,Andy Warhol,Four Marlons,11.12.2014 ,"69,605,000 ", ,0
25,Cy Twombly,Untitled,11.12.2014 ,"69,605,000 ", ,0
26,Amedeo Modigliani,Nu assis sur un divan,11.02.2010 ,"68,962,496 ",La belle romaine ,1
27,Mark Rothko,Untitled,05.13.2014 ,"66,245,000 ", ,0
28,Qi Baishi,Eagle standing on pine tree,05.22.2011 ,"65,532,112 ", ,0
29,Edouard Manet,Le Printemps,11.05.2014 ,"65,125,000 ", ,0
30,Andy Warhol,Men in Her Life,11.08.2010 ,"63,362,500 ", ,0
31,Andy Warhol,Race Riot,05.13.2014 ,"62,885,000 ",in 4 parts ,1
32,Wang Meng,Landscape,06.04.2011 ,"62,118,992 ", ,0
33,Vincent van Gogh,"Nature morte, vase aux marguerites et coquelicots",11.04.2014 ,"61,765,000 ", ,0
34,Clyfford Still,1949-A-No. 1,11.09.2011 ,"61,682,500 ", ,0
35,Paul Cézanne,"Rideau, cruchon et compotier",05.10.1999 ,"60,502,500 ", ,0
36,Kasimir Severinovich Malevich,Suprematist Composition,11.03.2008 ,"60,002,500 ", ,0
