,Artist,Name,date,price,comments,repeat_sale,Estimate,Description,Provenance
0,Francis Bacon,Three Studies of Lucian Freud,11.12.2013 ,"142,404,992 ",in 3 parts ,0,,"Francis Bacon (1909-1992)
Three Studies of Lucian Freud
titled and dated '3 studies for portrait Lucian Freud 1969' (on the reverse of the center panel)
oil on canvas, in 3 parts
each: 78 x 58 in. (198 x 147.5 cm.)
Painted in 1969.
","Left panel:
Galleria Galatea, Turin
Private collection, Paris
Private collection, Japan
Galerie H.Odermatt - Ph.Cazeau, Paris
Private collection, Rome

Center panel:
Galleria Galatea, Turin
Private collection, Paris
Galerie H.Odermatt - Ph.Cazeau, Paris
Private collection, Rome

Right panel:
Galleria Galatea, Turin
Private collection, Rome
Private collection, Rome

"
1,Edvard Munch,The Scream,05.02.2012 ,"119,922,496 ", ,0,"GBP 70,000 - GBP 100,000","EDVARD MUNCH (1863-1944)
The Girls on the Bridge
woodcut, 1918, on cream wove paper, signed in pencil, titled Madchen auf der Brucke, numbered No. 10 serie II at lower left corner, a fine and even impression of this rare and important subject, second state (after the removal of some of the marks within the white dress of the girl in the foreground), a rare variant of this state printed in black, printed by Nielsen, Norway, with wide margins, probably the full sheet, some light- and mount staining, generally in good condition

Block 500 x 428 mm., Sheet 710 x 545 mm.
","Acquired directly from the artist by Dr. Heinrich Karl Wilhelm Becker (1881-1972) for the Städtisches Kunsthaus Bielefeld in 1931, for 100 kr. (according to a letter from Becker to Edvard Munch, dated 9 April 1931 [Munchmuseet MM K 3688]). 
A gift by the Städtisches Kunsthaus Bielefeld to Heinrich Becker, on occasion of his dismissal as director of the Kunsthaus by the Nazi government in 1933 (according to a note attached to the back of the sheet: Als Dank für Ihre jahrelange selbstlose Arbeit/ für das Bielefelder Kunstleben/ überreicht vom/ “Freundeskreis des Bielefelder Kunsthauses”/ der Vorstand: [signed by] D. Emdenberg (?) Walther Delius Otto Lorenz/ September 1933); then by descent to the present owners."
2,Pablo Picasso,"Nude, Green Leaves and Bust",05.04.2010 ,"106,482,496 ", ,0,,"Pablo Picasso (1881-1973) 
Nude, Green Leaves and Bust 
signed and dated 'Picasso XXXII.' (upper right) 
oil on canvas 
63¾ x 51¼ in. (162 x 130 cm.) 
Painted on 8 March 1932 
","Paul Rosenberg & Co., New York (acquired from the artist, circa 1936).
Acquired from the above by Mr. and Mrs. Sidney F. Brody, 2 January 1951.
"
3,Andy Warhol,Silver car crash,11.13.2013 ,"105,445,000 ",Double disaster in 2 parts ,0,"USD 200,000 - USD 300,000","Andy Warhol (1928-1987)
Car Crash
stamped and dated 'Andy Warhol Enterprises, Inc., 1978' (lower right); stamped again with the Estate of Andy Warhol and the Andy Warhol Foundation for the Visual Arts, Inc. stamps and numbered 'WP890.23' and 'A171.042' (on the reverse)
silkscreen ink on paper
35 x 45 in. (88.9 x 114.3 cm.)
(2)Executed circa 1978.
","Estate of Andy Warhol, New York
Fred Dorfman Gallery, New York
Donald J. Christal, Los Angeles
Acquired from the above by the present owner
"
4,Pablo Picasso,Garçon à la pipe,05.05.2004 ,"104,168,000 ", ,0,"USD 12,000,000 - USD 16,000,000","Pablo Picasso (1881-1973) 
Homme à la pipe 
signed 'Picasso' (upper left); dated '7.11.68.' (on the reverse)
oil on canvas 
51¼ x 35 in. (130.1 x 89 cm.) 
Painted in 7 November 1968 
","Galerie Louise Leiris, Paris.
Saidenberg Gallery, New York.
Jeanette R. Markus; Estate sale, Sotheby's, New York, 11 May 1987, lot 93.
Private collection, United States.
Acquired from the above by the present owner.
"
5,Alberto Giacometti,L′homme qui marche I,02.03.2010 ,"103,689,992 ", ,0,"EUR 10,000 - EUR 15,000","ALBERTO GIACOMETTI (1901-1966) 
L'Homme qui marche 
plume et encre noire sur papier 
15.6 x 10 cm. (6¼ x 3 7/8 in.) 
Exécuté en 1951 
","Michel Hoffmann, Paris (don de l'artiste, 1951).
Par descendance au propriétaire actuel.
"
6,Alberto Giacometti,Chariot,11.04.2014 ,"100,965,000 ", ,0,"USD 14,000,000 - USD 18,000,000","Alberto Giacometti (1901-1966)
Le Chat
signed and numbered 'Alberto Giacometti 2/8' (on the top of the base); inscribed with foundry mark 'Susse Fondeur Paris' (on the side of the base); numbered '4/8' (on the underside)
bronze with dark brown patina
Length: 32 1/8 in. (81.5 cm.)
Conceived in 1951 and cast in 1955
","Galerie Maeght, Paris (acquired from the artist, 1955).
Baronne Johanna Lambert, Brussels (acquired from the above, 19 October 1955).
By descent from the above to the present owners."
7,Pablo Picasso,Dora Maar au chat,05.03.2006 ,"95,216,000 ", ,0,"USD 3,000 - USD 5,000","PABLO PICASSO (1881-1973)
Portrait de Dora Maar au collier
drypoint, on wove paper, 1937, a proof aside from the edition of 50, printed by Frélaut, 1961, published by galerie Louise Leiris, Paris, 1980, with wide margins, areas of discoloration in places primarily in the margins
Image: 16 3/8 x 12 ½ in. (416 x 318 mm.)
Sheet: 20 ½ x 16 ¼ in. (521 x 413 mm.)
",
8,Gustav Klimt,Portrait of Adele Bloch-Bauer II,11.08.2006 ,"87,936,000 ", ,0,"GBP 10,000 - GBP 15,000","Gustav Klimt (1862-1918) 
Adele Bloch-Bauer 
with the Nachlass stamp 'Nachlass Gustav Klimt Sammlung R. Zimpel' (on the reverse)
pencil on simili Japan paper 
22¼ x 14 5/8in. (56.5 x 37.2cm.) 
Drawn in 1912 
","Rudolf Zimpel (the artist's nephew), Vienna.
Piccadilly Gallery, London. 
"
9,Mark Rothko,"Orange, Red, Yellow",05.08.2012 ,"86,882,496 ", ,0,"USD 35,000,000 - USD 45,000,000","Mark Rothko (1903-1970) 
Orange, Red, Yellow 
signed and dated 'MARK ROTHKO 1961' (on the reverse); signed again and with initials 'M. Rothko M.B.' (on the stretcher)
oil on canvas 
93 x 81¼ in. (236.2 x 206.4 cm.) 
Painted in 1961. 
","Marlborough-Gerson Gallery, Inc., New York
Marloborough Fine Art, Ltd., London
Acquired from the above by the present owner, 1967
"
10,Francis Bacon,"Triptych, 1976",05.14.2008 ,"86,281,000 ", ,0,,"Francis Bacon (1909-1992) 
Triptych 1974-1977 
signed, titled and dated 'Tryptich May-June 1974 Francis Bacon' (on the reverse of each canvas)
oil, pastel and Letraset on canvas, in three parts 
each: 78 x 58 1/8in. (198 x 147.5cm.)
overall: 78 x 174¼in. (198 x 442.5cm.)
Executed in 1974, the central panel was reworked in 1977 
","Marlborough Fine Art Ltd., London.
Private Collection.
Acquired from the above by the present owner.
"
11,Barnett Newman,Black Fire I,05.13.2014 ,"84,165,000 ", ,0,,"Barnett Newman (1905-1970) 
Black Fire I 
signed and dated 'Barnett Newman 61' (lower right) 
oil on canvas 
114 x 84 in. (289.5 x 213.3 cm.) 
Painted in 1961. 
","M. Knoedler & Co., New York
Mr. and Mrs. Leonard Holzer, New York, 1969
Anon. sale; Sotheby Parke Bernet, New York, 24 October 1974, lot 544a
Harold and Hester Diamond, New York
The Mayor Gallery, London
Acquired from the above by the present owner, 1975
"
